DayOfWeek,Sales,Open,Promo,StateHoliday,SchoolHoliday,Month,Year,WeekOfYear,Date
3,2588.0,1,0,0,1,12,2014,1,2014-12-31
2,6471.0,1,0,0,1,12,2014,1,2014-12-30
1,5166.0,1,0,0,1,12,2014,1,2014-12-29
7,0.0,0,0,0,0,12,2014,52,2014-12-28
6,6633.0,1,0,0,0,12,2014,52,2014-12-27
5,0.0,0,0,1,1,12,2014,52,2014-12-26
4,0.0,0,0,1,1,12,2014,52,2014-12-25
3,3376.0,1,0,0,1,12,2014,52,2014-12-24
2,9728.0,1,0,0,1,12,2014,52,2014-12-23
1,10705.0,1,0,0,1,12,2014,52,2014-12-22
7,0.0,0,0,0,0,12,2014,51,2014-12-21
6,7558.0,1,0,0,0,12,2014,51,2014-12-20
5,8920.0,1,1,0,0,12,2014,51,2014-12-19
4,8960.0,1,1,0,0,12,2014,51,2014-12-18
3,7707.0,1,1,0,0,12,2014,51,2014-12-17
2,8875.0,1,1,0,0,12,2014,51,2014-12-16
1,9801.0,1,1,0,0,12,2014,51,2014-12-15
7,0.0,0,0,0,0,12,2014,50,2014-12-14
6,6520.0,1,0,0,0,12,2014,50,2014-12-13
5,5804.0,1,0,0,0,12,2014,50,2014-12-12
4,5680.0,1,0,0,0,12,2014,50,2014-12-11
3,4874.0,1,0,0,0,12,2014,50,2014-12-10
2,5123.0,1,0,0,0,12,2014,50,2014-12-09
1,5209.0,1,0,0,0,12,2014,50,2014-12-08
7,0.0,0,0,0,0,12,2014,49,2014-12-07
6,4941.0,1,0,0,0,12,2014,49,2014-12-06
5,8886.0,1,1,0,0,12,2014,49,2014-12-05
4,7536.0,1,1,0,0,12,2014,49,2014-12-04
3,5467.0,1,1,0,0,12,2014,49,2014-12-03
2,7489.0,1,1,0,0,12,2014,49,2014-12-02
1,7924.0,1,1,0,0,12,2014,49,2014-12-01
7,0.0,0,0,0,0,11,2014,48,2014-11-30
6,6440.0,1,0,0,0,11,2014,48,2014-11-29
5,6868.0,1,1,0,0,11,2014,48,2014-11-28
4,5839.0,1,1,0,0,11,2014,48,2014-11-27
3,5290.0,1,1,0,0,11,2014,48,2014-11-26
2,5697.0,1,1,0,0,11,2014,48,2014-11-25
1,6836.0,1,1,0,0,11,2014,48,2014-11-24
7,0.0,0,0,0,0,11,2014,47,2014-11-23
6,6059.0,1,0,0,0,11,2014,47,2014-11-22
5,5765.0,1,0,0,0,11,2014,47,2014-11-21
4,5606.0,1,0,0,0,11,2014,47,2014-11-20
3,0.0,0,0,1,0,11,2014,47,2014-11-19
2,4068.0,1,0,0,0,11,2014,47,2014-11-18
1,4250.0,1,0,0,0,11,2014,47,2014-11-17
7,0.0,0,0,0,0,11,2014,46,2014-11-16
6,5209.0,1,0,0,0,11,2014,46,2014-11-15
5,6773.0,1,1,0,0,11,2014,46,2014-11-14
4,5818.0,1,1,0,0,11,2014,46,2014-11-13
3,5303.0,1,1,0,0,11,2014,46,2014-11-12
2,4891.0,1,1,0,0,11,2014,46,2014-11-11
1,5923.0,1,1,0,0,11,2014,46,2014-11-10
7,0.0,0,0,0,0,11,2014,45,2014-11-09
6,5266.0,1,0,0,0,11,2014,45,2014-11-08
5,6393.0,1,1,0,0,11,2014,45,2014-11-07
4,5622.0,1,1,0,0,11,2014,45,2014-11-06
3,5154.0,1,1,0,0,11,2014,45,2014-11-05
2,5752.0,1,1,0,0,11,2014,45,2014-11-04
1,7652.0,1,1,0,0,11,2014,45,2014-11-03
7,0.0,0,0,0,0,11,2014,44,2014-11-02
6,6647.0,1,0,0,0,11,2014,44,2014-11-01
